"","EVTYPE","yr","outcomes","totalamount"
"243","EXTREME TEMPERATURE",2003,"FATALITIES",56
"244","TORNADO",2003,"FATALITIES",54
"245","HIGH WINDS",2003,"FATALITIES",24
"246","MARINE SQUALL",2003,"FATALITIES",51
"247","WINTER WEATHER",2003,"FATALITIES",28
"248","OTHER",2003,"FATALITIES",31
"249","FIRE",2003,"FATALITIES",24
"250","DROUGHT",2003,"FATALITIES",1
"251","HURRICANE",2003,"FATALITIES",6
"252","STORM",2004,"FATALITIES",60
"253","HAIL",2004,"FATALITIES",0
"254","EXTREME TEMPERATURE",2004,"FATALITIES",33
"255","FLOOD",2004,"FATALITIES",76
"256","HIGH WINDS",2004,"FATALITIES",26
"257","WINTER WEATHER",2004,"FATALITIES",28
"258","DROUGHT",2004,"FATALITIES",0
"259","TORNADO",2004,"FATALITIES",35
"260","OTHER",2004,"FATALITIES",17
"261","HURRICANE",2004,"FATALITIES",23
"262","MARINE SQUALL",2004,"FATALITIES",36
"263","FIRE",2004,"FATALITIES",0
"264","EXTREME TEMPERATURE",2005,"FATALITIES",182
"265","TORNADO",2005,"FATALITIES",38
"266","STORM",2005,"FATALITIES",59
"267","HIGH WINDS",2005,"FATALITIES",7
"268","WINTER WEATHER",2005,"FATALITIES",34
"269","HAIL",2005,"FATALITIES",1
"270","FLOOD",2005,"FATALITIES",40
"271","HURRICANE",2005,"FATALITIES",34
"272","MARINE SQUALL",2005,"FATALITIES",36
"273","FIRE",2005,"FATALITIES",6
"274","DROUGHT",2005,"FATALITIES",0
"275","OTHER",2005,"FATALITIES",22
"276","TORNADO",2006,"FATALITIES",67
"277","STORM",2006,"FATALITIES",59
"278","HAIL",2006,"FATALITIES",0
"279","FLOOD",2006,"FATALITIES",78
"280","EXTREME TEMPERATURE",2006,"FATALITIES",260
"281","HIGH WINDS",2006,"FATALITIES",36
"282","WINTER WEATHER",2006,"FATALITIES",19
"283","DROUGHT",2006,"FATALITIES",0
"284","OTHER",2006,"FATALITIES",19
"285","FIRE",2006,"FATALITIES",15
"286","MARINE SQUALL",2006,"FATALITIES",33
"287","TORNADO",2007,"FATALITIES",81
"288","HAIL",2007,"FATALITIES",0
"289","FLOOD",2007,"FATALITIES",87
