"","EVTYPE","yr","outcomes","totalamount"
"165","FIRE",1996,"PROPDMG",73900000
"166","DROUGHT",1996,"PROPDMG",135415000
"167","HURRICANE",1996,"PROPDMG",1349280000
"168","STORM",1997,"PROPDMG",250371010
"169","TORNADO",1997,"PROPDMG",730736250
"170","HAIL",1997,"PROPDMG",202142820
"171","EXTREME TEMPERATURE",1997,"PROPDMG",3060500
"172","FLOOD",1997,"PROPDMG",6879304200
"173","WINTER WEATHER",1997,"PROPDMG",688119960
"174","HIGH WINDS",1997,"PROPDMG",38994600
"175","MARINE SQUALL",1997,"PROPDMG",2e+06
"176","HURRICANE",1997,"PROPDMG",65500000
"177","OTHER",1997,"PROPDMG",35501400
"178","DROUGHT",1997,"PROPDMG",24001000
"179","FIRE",1997,"PROPDMG",33075000
"180","HAIL",1998,"PROPDMG",1348376050
"181","STORM",1998,"PROPDMG",1896666540
"182","FLOOD",1998,"PROPDMG",2417691300
"183","WINTER WEATHER",1998,"PROPDMG",526637390
"184","HIGH WINDS",1998,"PROPDMG",63746500
"185","TORNADO",1998,"PROPDMG",1716131900
"186","MARINE SQUALL",1998,"PROPDMG",8801000
"187","EXTREME TEMPERATURE",1998,"PROPDMG",645000
"188","OTHER",1998,"PROPDMG",18101650
"189","DROUGHT",1998,"PROPDMG",40003300
"190","HURRICANE",1998,"PROPDMG",1457132000
"191","FIRE",1998,"PROPDMG",398252000
"192","STORM",1999,"PROPDMG",399656220
"193","HAIL",1999,"PROPDMG",442972140
"194","HIGH WINDS",1999,"PROPDMG",86992020
"195","EXTREME TEMPERATURE",1999,"PROPDMG",4800000
"196","MARINE SQUALL",1999,"PROPDMG",6280000
"197","FLOOD",1999,"PROPDMG",1414710270
"198","WINTER WEATHER",1999,"PROPDMG",64346950
"199","OTHER",1999,"PROPDMG",5859000
"200","TORNADO",1999,"PROPDMG",1989844450
"201","DROUGHT",1999,"PROPDMG",73000
"202","FIRE",1999,"PROPDMG",141010500
"203","HURRICANE",1999,"PROPDMG",4045151000
"204","STORM",2000,"PROPDMG",288518980
"205","HAIL",2000,"PROPDMG",445981960
"206","FLOOD",2000,"PROPDMG",1251460950
"207","TORNADO",2000,"PROPDMG",423665000
"208","HIGH WINDS",2000,"PROPDMG",49147940
"209","WINTER WEATHER",2000,"PROPDMG",1035601020
"210","OTHER",2000,"PROPDMG",5975000
"211","MARINE SQUALL",2000,"PROPDMG",1492500
"212","EXTREME TEMPERATURE",2000,"PROPDMG",610000
"213","DROUGHT",2000,"PROPDMG",692000
"214","FIRE",2000,"PROPDMG",2108242200
"215","HURRICANE",2000,"PROPDMG",5050000
"216","STORM",2001,"PROPDMG",5562868960
"217","HAIL",2001,"PROPDMG",2368341440
"218","TORNADO",2001,"PROPDMG",630064900
"219","FLOOD",2001,"PROPDMG",1023292000
"220","HIGH WINDS",2001,"PROPDMG",66793070
"221","FIRE",2001,"PROPDMG",45135800
"222","WINTER WEATHER",2001,"PROPDMG",103644000
"223","EXTREME TEMPERATURE",2001,"PROPDMG",0
"224","MARINE SQUALL",2001,"PROPDMG",2060500
"225","OTHER",2001,"PROPDMG",4204000
"226","DROUGHT",2001,"PROPDMG",23000
"227","HURRICANE",2001,"PROPDMG",50000
"228","HAIL",2002,"PROPDMG",325268840
"229","STORM",2002,"PROPDMG",521586600
"230","EXTREME TEMPERATURE",2002,"PROPDMG",303000
"231","FLOOD",2002,"PROPDMG",651236300
"232","WINTER WEATHER",2002,"PROPDMG",753064100
"233","TORNADO",2002,"PROPDMG",801249200
"234","HIGH WINDS",2002,"PROPDMG",83097900
"235","MARINE SQUALL",2002,"PROPDMG",10700000
"236","HURRICANE",2002,"PROPDMG",519255010
"237","OTHER",2002,"PROPDMG",6548700
"238","FIRE",2002,"PROPDMG",200827000
"239","DROUGHT",2002,"PROPDMG",13300
"240","STORM",2003,"PROPDMG",1083047070
"241","FLOOD",2003,"PROPDMG",2455602400
"242","HAIL",2003,"PROPDMG",505952470
"243","EXTREME TEMPERATURE",2003,"PROPDMG",860000
"244","TORNADO",2003,"PROPDMG",1265650770
"245","HIGH WINDS",2003,"PROPDMG",166733520
"246","MARINE SQUALL",2003,"PROPDMG",66392000
"247","WINTER WEATHER",2003,"PROPDMG",499454080
"248","OTHER",2003,"PROPDMG",7671000
"249","FIRE",2003,"PROPDMG",2327862330
"250","DROUGHT",2003,"PROPDMG",645280000
"251","HURRICANE",2003,"PROPDMG",986570000
"252","STORM",2004,"PROPDMG",605571900
